economy,YR2015,YR2016,YR2017,YR2018
AUS,14.085789680481,13.804349899292,13.6029195785522,13.4804601669312
FRA,,,9.65242958068848,9.72482967376709
IND,12.5311698913574,12.7535495758057,,
TUN,22.665340423584,,,
USA,,,,
